Repetition,Algorithm,Scenario,NumDevices,VariableParameter,ParameterValue,PayloadSize,PacketInterval,MobilityPercentage,SpreadingFactor,SimulationDuration,MobilitySpeed,TotalPackets,Succeed,Lost,Success_Rate,PDR,EnergyEfficiency,AverageToA,AverageSNR,AverageRSSI,TotalEnergyConsumption
1,D-LoRa,S1_Density,700,NumDevices,700,20,5,50,0,1500.0,30,24325,14827,9498,60.9538,60.95,41.55,362.63,-2.32,-116.83,57093.92
1,D-LoRa,S1_Density,700,NumDevices,700,20,40,0,0,12000.0,0,37947,22930,15017,60.4264,60.43,40.99,473.69,-3.88,-118.96,89512.97
1,D-LoRa,S1_Density,700,NumDevices,700,20,40,0,0,12000.0,30,37947,22930,15017,60.4264,60.43,40.99,473.69,-3.88,-118.96,89512.97
1,D-LoRa,S1_Density,700,NumDevices,700,20,40,50,0,12000.0,0,24332,14644,9688,60.1841,60.18,38.46,397.4,-3.24,-117.97,60918.27
1,D-LoRa,S1_Density,700,NumDevices,700,20,40,50,0,12000.0,30,24332,14644,9688,60.1841,60.18,38.46,397.4,-3.24,-117.97,60918.27
1,D-LoRa,S1_Density,800,NumDevices,800,20,5,0,0,1500.0,0,42550,25726,16824,60.4606,60.46,40.78,467.7,-3.88,-118.87,100946.61
1,D-LoRa,S1_Density,800,NumDevices,800,20,5,0,0,1500.0,30,42550,25726,16824,60.4606,60.46,40.78,467.7,-3.88,-118.87,100946.61
1,D-LoRa,S1_Density,800,NumDevices,800,20,5,50,0,1500.0,0,30782,18625,12157,60.5061,60.51,39.6,404.0,-2.81,-117.4,75246.49
1,D-LoRa,S1_Density,800,NumDevices,800,20,5,50,0,1500.0,30,30782,18625,12157,60.5061,60.51,39.6,404.0,-2.81,-117.4,75246.49
1,D-LoRa,S1_Density,800,NumDevices,800,20,40,0,0,12000.0,0,42561,25830,16731,60.6894,60.69,38.73,486.62,-3.77,-118.79,106696.87
1,D-LoRa,S1_Density,800,NumDevices,800,20,40,0,0,12000.0,30,42561,25830,16731,60.6894,60.69,38.73,486.62,-3.77,-118.79,106696.87
1,D-LoRa,S1_Density,800,NumDevices,800,20,40,50,0,12000.0,0,30795,18306,12489,59.4447,59.44,37.55,425.94,-4.0,-118.81,78004.05
1,D-LoRa,S1_Density,800,NumDevices,800,20,40,50,0,12000.0,30,30795,18306,12489,59.4447,59.44,37.55,425.94,-4.0,-118.81,78004.05
1,D-LoRa,S1_Density,900,NumDevices,900,20,5,0,0,1500.0,0,45431,27362,18069,60.2276,60.23,39.56,450.92,-3.72,-118.69,110670.83
1,D-LoRa,S1_Density,900,NumDevices,900,20,5,0,0,1500.0,30,45431,27362,18069,60.2276,60.23,39.56,450.92,-3.72,-118.69,110670.83
1,D-LoRa,S1_Density,900,NumDevices,900,20,5,50,0,1500.0,0,32566,19476,13090,59.8047,59.8,38.34,429.96,-3.84,-118.66,81267.91
1,D-LoRa,S1_Density,900,NumDevices,900,20,5,50,0,1500.0,30,32566,19476,13090,59.8047,59.8,38.34,429.96,-3.84,-118.66,81267.91
1,D-LoRa,S1_Density,900,NumDevices,900,20,40,0,0,12000.0,0,45439,27320,18119,60.1246,60.12,39.11,480.02,-3.86,-118.86,111772.15
1,D-LoRa,S1_Density,900,NumDevices,900,20,40,0,0,12000.0,30,45439,27320,18119,60.1246,60.12,39.11,480.02,-3.86,-118.86,111772.15
1,D-LoRa,S1_Density,900,NumDevices,900,20,40,50,0,12000.0,0,32578,19389,13189,59.5156,59.52,37.67,420.51,-3.75,-118.57,82347.4
1,D-LoRa,S1_Density,900,NumDevices,900,20,40,50,0,12000.0,30,32578,19389,13189,59.5156,59.52,37.67,420.51,-3.75,-118.57,82347.4
1,D-LoRa,S1_Density,1000,NumDevices,1000,20,5,0,0,1500.0,0,52091,31726,20365,60.905,60.9,39.23,471.95,-3.11,-118.12,129379.6
1,D-LoRa,S1_Density,1000,NumDevices,1000,20,5,0,0,1500.0,30,52091,31726,20365,60.905,60.9,39.23,471.95,-3.11,-118.12,129379.6
1,D-LoRa,S1_Density,1000,NumDevices,1000,20,5,50,0,1500.0,0,34430,20847,13583,60.5489,60.55,41.62,369.76,-2.75,-117.33,80137.85
1,D-LoRa,S1_Density,1000,NumDevices,1000,20,5,50,0,1500.0,30,34430,20847,13583,60.5489,60.55,41.62,369.76,-2.75,-117.33,80137.85
1,D-LoRa,S1_Density,1000,NumDevices,1000,20,40,0,0,12000.0,0,52107,31522,20585,60.4948,60.49,42.26,456.93,-3.33,-118.23,119355.46
1,D-LoRa,S1_Density,1000,NumDevices,1000,20,40,0,0,12000.0,30,52107,31522,20585,60.4948,60.49,42.26,456.93,-3.33,-118.23,119355.46
1,D-LoRa,S1_Density,1000,NumDevices,1000,20,40,50,0,12000.0,0,34441,20742,13699,60.2247,60.22,40.14,375.52,-2.66,-117.42,82687.96
1,D-LoRa,S1_Density,1000,NumDevices,1000,20,40,50,0,12000.0,30,34441,20742,13699,60.2247,60.22,40.14,375.52,-2.66,-117.42,82687.96
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,1,20,1,0,0,300.0,0,5510,3642,1868,66.098,66.1,42.49,312.02,-1.77,-116.16,13714.11
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,1,20,1,0,0,300.0,30,5510,3642,1868,66.098,66.1,42.49,312.02,-1.77,-116.16,13714.11
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,1,20,1,50,0,300.0,0,10447,6499,3948,62.2092,62.21,37.56,403.51,-3.85,-118.6,27682.56
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,1,20,1,50,0,300.0,30,10447,6499,3948,62.2092,62.21,37.56,403.51,-3.85,-118.6,27682.56
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,1,20,1,0,0,300.0,0,33943,20673,13270,60.905,60.91,37.42,500.88,-3.71,-118.77,88403.75
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,1,20,1,0,0,300.0,30,33943,20673,13270,60.905,60.91,37.42,500.88,-3.71,-118.77,88403.75
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,1,20,1,50,0,300.0,0,22022,13307,8715,60.4259,60.43,39.32,388.9,-3.61,-118.32,54146.78
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,1,20,1,50,0,300.0,30,22022,13307,8715,60.4259,60.43,39.32,388.9,-3.61,-118.32,54146.78
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,7,20,7,0,0,2100.0,0,5521,3709,1812,67.1799,67.18,42.79,309.06,-1.8,-116.12,13868.31
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,7,20,7,0,0,2100.0,30,5521,3709,1812,67.1799,67.18,42.79,309.06,-1.8,-116.12,13868.31
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,7,20,7,50,0,2100.0,0,10471,6473,3998,61.8184,61.82,36.38,437.16,-4.15,-118.97,28468.62
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,7,20,7,50,0,2100.0,30,10471,6473,3998,61.8184,61.82,36.38,437.16,-4.15,-118.97,28468.62
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,7,20,7,0,0,2100.0,0,34013,20670,13343,60.7709,60.77,42.1,471.64,-3.97,-118.91,78547.17
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,7,20,7,0,0,2100.0,30,34013,20670,13343,60.7709,60.77,42.1,471.64,-3.97,-118.91,78547.17
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,7,20,7,50,0,2100.0,0,22052,13281,8771,60.2258,60.23,39.31,414.67,-3.58,-118.34,54061.1
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,7,20,7,50,0,2100.0,30,22052,13281,8771,60.2258,60.23,39.31,414.67,-3.58,-118.34,54061.1
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,13,20,13,0,0,3900.0,0,5521,3663,1858,66.3467,66.35,41.78,308.43,-1.88,-116.11,14027.47
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,13,20,13,0,0,3900.0,30,5521,3663,1858,66.3467,66.35,41.78,308.43,-1.88,-116.11,14027.47
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,13,20,13,50,0,3900.0,0,10472,6534,3938,62.395,62.39,36.05,430.29,-4.11,-118.95,29000.93
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,13,20,13,50,0,3900.0,30,10472,6534,3938,62.395,62.39,36.05,430.29,-4.11,-118.95,29000.93
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,13,20,13,0,0,3900.0,0,34015,20725,13290,60.929,60.93,40.07,497.58,-3.88,-118.93,82747.23
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,13,20,13,0,0,3900.0,30,34015,20725,13290,60.929,60.93,40.07,497.58,-3.88,-118.93,82747.23
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,13,20,13,50,0,3900.0,0,22054,13246,8808,60.0617,60.06,39.32,402.2,-3.52,-118.26,53904.44
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,13,20,13,50,0,3900.0,30,22054,13246,8808,60.0617,60.06,39.32,402.2,-3.52,-118.26,53904.44
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,19,20,19,0,0,5700.0,0,5521,3683,1838,66.7089,66.71,42.55,317.44,-1.78,-116.17,13849.63
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,19,20,19,0,0,5700.0,30,5521,3683,1838,66.7089,66.71,42.55,317.44,-1.78,-116.17,13849.63
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,19,20,19,50,0,5700.0,0,10473,6414,4059,61.2432,61.24,37.69,389.48,-4.23,-118.92,27231.36
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,19,20,19,50,0,5700.0,30,10473,6414,4059,61.2432,61.24,37.69,389.48,-4.23,-118.92,27231.36
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,19,20,19,0,0,5700.0,0,34019,20769,13250,61.0512,61.05,38.53,523.89,-3.74,-118.88,86236.47
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,19,20,19,0,0,5700.0,30,34019,20769,13250,61.0512,61.05,38.53,523.89,-3.74,-118.88,86236.47
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,19,20,19,50,0,5700.0,0,22054,13271,8783,60.175,60.18,39.1,372.58,-3.44,-118.01,54310.91
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,19,20,19,50,0,5700.0,30,22054,13271,8783,60.175,60.18,39.1,372.58,-3.44,-118.01,54310.91
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,25,20,25,0,0,7500.0,0,5521,3673,1848,66.5278,66.53,44.97,306.48,-1.75,-116.16,13069.43
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,25,20,25,0,0,7500.0,30,5521,3673,1848,66.5278,66.53,44.97,306.48,-1.75,-116.16,13069.43
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,25,20,25,50,0,7500.0,0,10474,6485,3989,61.9152,61.92,35.57,437.63,-4.13,-118.95,29170.5
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,25,20,25,50,0,7500.0,30,10474,6485,3989,61.9152,61.92,35.57,437.63,-4.13,-118.95,29170.5
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,25,20,25,0,0,7500.0,0,34019,20752,13267,61.0012,61.0,39.73,477.55,-3.8,-118.77,83575.49
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,25,20,25,0,0,7500.0,30,34019,20752,13267,61.0012,61.0,39.73,477.55,-3.8,-118.77,83575.49
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,25,20,25,50,0,7500.0,0,22054,13346,8708,60.5151,60.52,38.34,418.98,-3.47,-118.19,55693.97
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,25,20,25,50,0,7500.0,30,22054,13346,8708,60.5151,60.52,38.34,418.98,-3.47,-118.19,55693.97
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,31,20,31,0,0,9300.0,0,5521,3667,1854,66.4191,66.42,43.73,307.23,-1.72,-116.13,13417.16
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,31,20,31,0,0,9300.0,30,5521,3667,1854,66.4191,66.42,43.73,307.23,-1.72,-116.13,13417.16
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,31,20,31,50,0,9300.0,0,10474,6458,4016,61.6574,61.66,38.75,396.4,-4.07,-118.83,26662.61
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,31,20,31,50,0,9300.0,30,10474,6458,4016,61.6574,61.66,38.75,396.4,-4.07,-118.83,26662.61
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,31,20,31,0,0,9300.0,0,34020,20652,13368,60.7055,60.71,42.88,475.07,-4.04,-119.03,77059.15
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,31,20,31,0,0,9300.0,30,34020,20652,13368,60.7055,60.71,42.88,475.07,-4.04,-119.03,77059.15
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,31,20,31,50,0,9300.0,0,22054,13337,8717,60.4743,60.47,39.82,381.13,-3.49,-118.14,53589.56
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,31,20,31,50,0,9300.0,30,22054,13337,8717,60.4743,60.47,39.82,381.13,-3.49,-118.14,53589.56
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,37,20,37,0,0,11100.0,0,5522,3656,1866,66.2079,66.21,45.34,296.29,-1.78,-116.16,12901.39
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,37,20,37,0,0,11100.0,30,5522,3656,1866,66.2079,66.21,45.34,296.29,-1.78,-116.16,12901.39
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,37,20,37,50,0,11100.0,0,10474,6479,3995,61.8579,61.86,36.82,440.06,-4.22,-119.04,28154.44
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,37,20,37,50,0,11100.0,30,10474,6479,3995,61.8579,61.86,36.82,440.06,-4.22,-119.04,28154.44
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,37,20,37,0,0,11100.0,0,34020,20796,13224,61.1287,61.13,38.97,522.45,-3.74,-118.81,85387.57
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,37,20,37,0,0,11100.0,30,34020,20796,13224,61.1287,61.13,38.97,522.45,-3.74,-118.81,85387.57
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,37,20,37,50,0,11100.0,0,22055,13253,8802,60.0907,60.09,38.8,391.81,-3.51,-118.12,54650.09
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,37,20,37,50,0,11100.0,30,22055,13253,8802,60.0907,60.09,38.8,391.81,-3.51,-118.12,54650.09
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,43,20,43,0,0,12900.0,0,5522,3655,1867,66.1898,66.19,43.3,308.82,-1.67,-116.11,13504.63
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,43,20,43,0,0,12900.0,30,5522,3655,1867,66.1898,66.19,43.3,308.82,-1.67,-116.11,13504.63
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,43,20,43,50,0,12900.0,0,10474,6509,3965,62.1444,62.14,36.46,435.26,-4.26,-119.01,28564.04
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,43,20,43,50,0,12900.0,30,10474,6509,3965,62.1444,62.14,36.46,435.26,-4.26,-119.01,28564.04
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,43,20,43,0,0,12900.0,0,34020,20694,13326,60.8289,60.83,39.11,505.89,-3.77,-118.89,84656.27
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,43,20,43,0,0,12900.0,30,34020,20694,13326,60.8289,60.83,39.11,505.89,-3.77,-118.89,84656.27
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,43,20,43,50,0,12900.0,0,22055,13239,8816,60.0272,60.03,38.75,384.46,-3.43,-118.06,54658.01
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,43,20,43,50,0,12900.0,30,22055,13239,8816,60.0272,60.03,38.75,384.46,-3.43,-118.06,54658.01
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,49,20,49,0,0,14700.0,0,5522,3662,1860,66.3166,66.32,42.38,324.02,-1.72,-116.16,13823.87
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,49,20,49,0,0,14700.0,30,5522,3662,1860,66.3166,66.32,42.38,324.02,-1.72,-116.16,13823.87
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,49,20,49,50,0,14700.0,0,10474,6490,3984,61.963,61.96,37.95,424.18,-4.2,-119.03,27365.52
1,D-LoRa,S2_TrafficLoad,200,PacketInterval,49,20,49,50,0,14700.0,30,10474,6490,3984,61.963,61.96,37.95,424.18,-4.2,-119.03,27365.52
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,49,20,49,0,0,14700.0,0,34020,20699,13321,60.8436,60.84,41.53,472.63,-3.98,-118.9,79739.18
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,49,20,49,0,0,14700.0,30,34020,20699,13321,60.8436,60.84,41.53,472.63,-3.98,-118.9,79739.18
1,D-LoRa,S2_TrafficLoad,600,PacketInterval,49,20,49,50,0,14700.0,0,22056,13252,8804,60.0834,60.08,39.14,410.34,-3.47,-118.25,54166.25
